symbol,session,volume_mean,return_mean_bps,return_std_bps,sharpe,positive_pct
BTCUSDT,asia,10893.920175,-0.12000000000000001,57.660000000000004,-0.06886739691061101,0.498569
BTCUSDT,europe,16868.813687,0.58,67.45,0.28454640244652607,0.505251
BTCUSDT,us,14342.579511,0.7899999999999999,64.74,0.40379548239548024,0.517001
ETHUSDT,asia,121613.482951,-0.09,77.25,-0.03855236995986244,0.504115
ETHUSDT,europe,177426.744153,0.26999999999999996,87.42,0.10220214754287486,0.504893
ETHUSDT,us,149698.366045,1.26,85.49,0.4877107043115128,0.512112
